PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,SHRENDDT,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,ALTPRC,SPREAD,ALTPRCDT,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
14593,29/04/2022,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,0,,,,,,,,,23/06/2022,,,,,1,6,60,1,156.57001,178.44000,157.64999,16861153,-0.097131,157.66000,157.67000,16185181,1,1,157.64999,,29/04/2022,-0.097131,-0.089387,-0.090295,-0.089642,-0.090537,-0.087957
14593,31/05/2022,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,28/04/2022,,,,,12/05/2022,09/05/2022,0,,,1232,0.23000,0.00000,0.00000,,,,,,,,1,6,60,1,137.35001,166.02000,148.84000,24000066,-0.054424,148.75999,148.84000,16185181,1,1,148.84000,,31/05/2022,-0.055883,-0.002113,-0.003740,-0.016103,-0.017428,0.000053
14593,30/06/2022,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,0,,,,,,,,,14/07/2022,,,,,1,6,60,1,130.06000,151.21001,136.72000,17649177,-0.081430,136.75999,136.82001,16095378,1,1,136.72000,,30/06/2022,-0.081430,-0.083998,-0.085822,-0.068797,-0.071172,-0.083920
14593,29/07/2022,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,0,,,,,,,,,22/09/2022,,,,,1,6,60,1,138.92999,162.50999,162.50999,14469716,0.188634,162.57001,162.58000,16070752,1,1,162.50999,,29/07/2022,0.188634,0.090351,0.089287,0.065360,0.064301,0.091116
14593,31/08/2022,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,28/07/2022,,,,,11/08/2022,08/08/2022,0,,,1232,0.23000,0.00000,0.00000,,,,,,,,1,6,61,1,157.22000,174.55000,157.22000,15086319,-0.031137,157.17000,157.17999,16070752,1,1,157.22000,,31/08/2022,-0.032552,-0.036233,-0.037918,-0.011554,-0.013025,-0.042440
14593,30/09/2022,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,0,,,,,,,,,13/10/2022,,,,,1,6,61,1,138.20000,163.42999,138.20000,20853206,-0.120977,138.08000,138.09000,15943425,1,1,138.20000,,30/09/2022,-0.120977,-0.091323,-0.093030,-0.099903,-0.101918,-0.093396
14593,31/10/2022,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,0,,,,,,,,,29/12/2022,,,,,1,6,61,1,138.34000,155.74001,153.34000,18666227,0.109551,153.45000,153.46001,15908118,1,1,153.34000,,31/10/2022,0.109551,0.077394,0.076265,0.049863,0.048814,0.079863
14593,30/11/2022,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,27/10/2022,,,,,10/11/2022,07/11/2022,0,,,1232,0.23000,0.00000,0.00000,,,,,,,,1,6,60,1,134.87000,151.28999,148.03000,17240790,-0.033129,148.00000,148.03000,15908118,1,1,148.03000,,30/11/2022,-0.034629,0.052354,0.050479,0.028123,0.026565,0.053753
14593,30/12/2022,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,0,,,,,,,,,08/01/2023,,,,,1,6,60,1,126.04000,148.31000,129.92999,16746278,-0.122273,129.91000,129.94000,15842407,1,1,129.92999,,30/12/2022,-0.122273,-0.057119,-0.059152,-0.047241,-0.050775,-0.058971
14593,31/01/2023,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,0,,,,,,,,,30/03/2023,,,,,1,6,60,1,125.02000,145.92999,144.28999,14423279,0.110521,144.28999,144.30000,15821946,1,1,144.28999,,31/01/2023,0.110521,0.071823,0.070884,0.126430,0.125589,0.061753
14593,28/02/2023,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,02/02/2023,,,,,16/02/2023,13/02/2023,0,,,1232,0.23000,0.00000,0.00000,,,,,,,,1,6,59,1,145.42999,155.33000,147.41000,13119369,0.023217,147.39000,147.39999,15821946,1,1,147.41000,,28/02/2023,0.021623,-0.024666,-0.026252,-0.035291,-0.036476,-0.026112
